Sales,Traffic,Transactions,Conversion,Passersby,Capture Rate,datetime
635658,434,160,37,3920,11.071,2022-01-01 10:00:00
466234,427,134,31,2656,16.077,2022-01-01 11:00:00
624829,407,129,32,3282,12.401,2022-01-01 12:00:00
620423,470,135,29,2806,16.75,2022-01-01 13:00:00
755652,486,168,35,3299,14.732,2022-01-01 14:00:00
755113,552,171,31,3070,17.981,2022-01-01 15:00:00
751891,471,174,37,3694,12.75,2022-01-01 16:00:00
653837,403,142,35,3113,12.946,2022-01-01 17:00:00
425235,293,85,29,2628,11.149,2022-01-01 18:00:00
263326,183,67,37,2570,7.121,2022-01-01 19:00:00
136260,119,35,29,1514,7.86,2022-01-01 20:00:00
522449,313,152,49,366,85.519,2022-01-02 10:00:00
678451,387,151,39,2360,16.398,2022-01-02 11:00:00
741668,450,162,36,2797,16.089,2022-01-02 12:00:00
677210,475,162,34,3719,12.772,2022-01-02 13:00:00
918599,496,167,34,4152,11.946,2022-01-02 14:00:00
786987,508,159,31,4290,11.842,2022-01-02 15:00:00
723731,469,155,33,3929,11.937,2022-01-02 16:00:00
565020,406,133,33,2936,13.828,2022-01-02 17:00:00
374596,267,82,31,3434,7.775,2022-01-02 18:00:00
243653,205,53,26,1941,10.562,2022-01-02 19:00:00
209557,166,61,37,1487,11.163,2022-01-02 20:00:00
400408,309,150,49,303,101.98,2022-01-03 10:00:00
697013,358,161,45,2729,13.118,2022-01-03 11:00:00
495637,367,124,34,2230,16.457,2022-01-03 12:00:00
940711,461,157,34,3384,13.623,2022-01-03 13:00:00
678927,491,154,31,3610,13.601,2022-01-03 14:00:00
662344,436,142,33,3610,12.078,2022-01-03 15:00:00
564471,436,154,35,2693,16.19,2022-01-03 16:00:00
566801,308,100,32,2266,13.592,2022-01-03 17:00:00
349793,242,89,37,2197,11.015,2022-01-03 18:00:00
263674,150,49,33,1557,9.634,2022-01-03 19:00:00
154897,111,38,34,807,13.755,2022-01-03 20:00:00
278136,157,65,41,287,54.704,2022-01-04 10:00:00
